rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,72b8c758d34b5b1ebfbcf57ed4490674,BasicLinearModel,"{""datepart_method"": [""dayofweek"", [365.25, 14]], ""changepoint_spacing"": 90, ""changepoint_distance_end"": 360, ""regression_type"": null, ""lambda_"": null, ""trend_phi"": 0.98, ""holiday_countries_used"": true}","{""fillna"": ""piecewise_polynomial"", ""transformations"": {}, ""transformation_params"": {}}",0,1,100.49859233277071,16.795902862828296,21.58778624705629,9.685920745471806,16.795902862828296,0.0,0.0,2.543781117358608,151.16312576545465,16.795902862828296,30.54135190452519,0.0,0.5555555555555556,43.80497372120681,0.5555555555555556,8.725762347558424,10.604610888574175,108.21422170708601,3176.334319113018,0.7848145048170555,151.16312576545465,100.42014816721004,30.418710181228317,2.9649455702074548,100.49859233277071,16.795902862828296,21.58778624705629,9.685920745471806,16.795902862828296,0.0,2.543781117358608,16.795902862828296,30.54135190452519,43.80497372120681,0.5555555555555556,8.725762347558424,10.604610888574175,108.21422170708601,3176.334319113018,0.7848145048170555,151.16312576545465,100.42014816721004,30.418710181228317,2.9649455702074548,0.0,0.5555555555555556,0.156,801.5513568211171,259.5273901690659,Wh,259.5273901690659,Wh
1,21a1b449ad01dfdab29d131952c527fd,ConstantNaive,"{""constant"": 0}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default"", ""3"": ""default"", ""4"": ""default"", ""5"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {}, ""5"": {}}}",0,1,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,-50.98344039916992,5.66482671101888,0.0,1.8939819442950752,11.273184779900394,0.0,0.4444444444444444,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,5.66482671101888,1.8939819442950752,11.273184779900394,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,0.0,0.4444444444444444,0.0113,468.27448368088153,87.53192395059952,Wh,87.53192395059952,Wh
2,3655a5afa2d424a7d7dbd6ab57dd88a1,ConstantNaive,"{""constant"": 0}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,1,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,-50.98344039916992,5.66482671101888,0.0,1.8939819442950752,11.273184779900394,0.0,0.4444444444444444,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,5.66482671101888,1.8939819442950752,11.273184779900394,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,0.0,0.4444444444444444,0.0072,468.2744827158947,87.53192395059952,Wh,87.53192395059952,Wh
3,40d635de4aa83c2b6df653dae912abdd,ConstantNaive,"{""constant"": 0}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default"", ""3"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {}}}",0,1,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,-50.98344039916992,5.66482671101888,0.0,1.8939819442950752,11.273184779900394,0.0,0.4444444444444444,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,5.66482671101888,1.8939819442950752,11.273184779900394,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,0.0,0.4444444444444444,0.0071,468.27448269235845,87.53192395059952,Wh,87.53192395059952,Wh
4,86417fb4f61e0bd4ebca0093336dea83,ConstantNaive,"{""constant"": 0}","{""fillna"": ""ffill"", ""transformations"": {}, ""transformation_params"": {}}",0,1,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,-50.98344039916992,5.66482671101888,0.0,1.8939819442950752,11.273184779900394,0.0,0.4444444444444444,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,5.66482671101888,1.8939819442950752,11.273184779900394,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,0.0,0.4444444444444444,0.0071,468.27448269235845,87.53192395059952,Wh,87.53192395059952,Wh
5,8d067f91379958f4fd49968f35ec61b9,ConstantNaive,"{""constant"": 0}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,1,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,-50.98344039916992,5.66482671101888,0.0,1.8939819442950752,11.273184779900394,0.0,0.4444444444444444,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,5.66482671101888,1.8939819442950752,11.273184779900394,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,0.0,0.4444444444444444,0.0062,468.274482480532,87.53192395059952,Wh,87.53192395059952,Wh
6,03f1f2fa564a54eb309c5a8085944597,ConstantNaive,"{""constant"": 0}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default"", ""3"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {}}}",0,1,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,-50.98344039916992,5.66482671101888,0.0,1.8939819442950752,11.273184779900394,0.0,0.4444444444444444,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,5.66482671101888,1.8939819442950752,11.273184779900394,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,0.0,0.4444444444444444,0.0056,468.27448233931443,87.53192395059952,Wh,87.53192395059952,Wh
7,b26b3e6482eed46304c6690540941b41,ConstantNaive,"{""constant"": 0}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""default""}, ""transformation_params"": {""0"": {}}}",0,1,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,-50.98344039916992,5.66482671101888,0.0,1.8939819442950752,11.273184779900394,0.0,0.4444444444444444,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,5.66482671101888,1.8939819442950752,11.273184779900394,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,0.0,0.4444444444444444,0.0054,468.27448229224194,87.53192395059952,Wh,87.53192395059952,Wh
8,89ff60646e2f720083eaa2fa781748b9,DMD,"{""rank"": ""ecr"", ""alpha"": 0.0, ""amplitude_threshold"": 1, ""eigenvalue_threshold"": null}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default"", ""3"": ""default"", ""4"": ""default"", ""5"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {}, ""5"": {}}}",0,1,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,-50.98344039916992,5.66482671101888,0.0,1.8939819442950752,5.496714306099191,0.0,0.4444444444444444,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,5.66482671101888,1.8939819442950752,5.496714306099191,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,0.0,0.4444444444444444,0.0336,393.6528094192485,87.53192395059952,Wh,87.53192395059952,Wh
9,4c2b90b49c728a658ecdb040ea901162,DMD,"{""rank"": 2, ""alpha"": 1, ""amplitude_threshold"": 10, ""eigenvalue_threshold"": 0.1}","{""fillna"": ""akima"", ""transformations"": {""0"": ""default"", ""1"": ""default"", ""2"": ""default""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0,1,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,-50.98344039916992,5.66482671101888,0.0,1.8939819442950752,5.496714306099191,0.0,0.4444444444444444,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,200.0,5.66482671101888,5.687194109207872,1.640842990801744,5.66482671101888,0.0,5.66482671101888,1.8939819442950752,5.496714306099191,6.538400173187256,0.4444444444444444,6.872112114447561,5.466920035226004,24.627462748463692,257.80465729803416,0.5333260944660358,50.98344039916992,53.96614891840012,8.155729621333048,1.0,0.0,0.4444444444444444,0.032,393.65280904266825,87.53192395059952,Wh,87.53192395059952,Wh
